Location,Hospital_Name,State,District,Pincode
Pandit Deen Dayal Marg,Ganga Devi Pandey Eye Hospital,Haryana,Mahendragarh,123029
Old Narnaul Road,Govind Netralaya,Haryana,Mahendragarh,123029
Opposite Bus Stand,Jeewan Anand Nursing Home,Haryana,Mahendragarh,123029
Near Rao Tula Ram Chowk,Neetu Nursing Home,Haryana,Mahendragarh,123029
"No. 953, Ward No.1,Shastri Colony,Opposite Bus Stand",Saumya Nursing Home,Haryana,Mahendragarh,123029
Gaushala Rd,Sharbati Surgical and Maternity Home,Haryana,Mahendragarh,123029
Roa Tularam Chowk,Shri Krishna Hospital,Haryana,Mahendragarh,123029
"Dadri Road, Near Fly Over",Sukhram Hospital,Haryana,Mahendragarh,123029
Pt. Deen Dayal Marg,Suraj Hospital and Health Services,Haryana,Mahendragarh,123029
Nahard,"Samudayik Swasthya Kender, Nahard",Haryana,Mahendragarh,123303
"Near New Sabji Mandi, Rewari Road, Bawal, Bawal",Jeevan Hospital,Haryana,Mahendragarh,123501
Bawal,"Samudayik Swasthya Kender, Bawal",Haryana,Mahendragarh,123501
"M.Garh Road Narnaul, Near Nuni Mode",Pooja Hospital,Haryana,Mahendragarh,123001
"817, Mahendragarh Rd.Opp SP Office, Sector 1, (Behind DC Residence",Samvedna Hospital and Diagnostic Center,Haryana,Mahendragarh,123001
"56 KM Stone, NH-2, Delhi-Mathura Road, Palwal",Om Spero Hospital,Haryana,Palwal,121102
Delhi Mathura Road,Dr. Baglas Nursing Home,Haryana,Palwal,121102
"1056/C-4-A, Bye Pass Road, Adjoining Punjab National Bank,\nRasoolpur Chowk, Palwal\n",Perfect Vision Eye Centre,Haryana,Palwal,121102
Kalka,Community Health Centre,Haryana,Panchkula,133302
Kalaka,D Rana`S Hospital Kalaka,Haryana,Panchkula,133302
"Kalka Shimla Highway, Near Canara Bank, Kalka",Rana Hospital,Haryana,Panchkula,133302
Kalka National Highway Pinjore,G D Child Care Centre,Haryana,Panchkula,134102
"Nalagarh Road, P. O. Pinjore",J N Shori Multi Speciality Hospital,Haryana,Panchkula,134102
45 Shiva Complex Main Bazar Pinjore,Khera Hospital / Khera Hospital and X-Ray Centre,Haryana,Panchkula,134102
"Near Railyway Crossing, Kalka Road, Pinjore",Khurana Hospital,Haryana,Panchkula,134102
"1303- P, Sector-21, New Grain Market Road",Aarogya Hospital,Haryana,Panchkula,134109
Sector - 21,Alchemist Hospitals Ltd. / (Formerly Know As Kaiser Hospital Ltd.),Haryana,Panchkula,134109
"K.No 889,Sector-4",Bajaj Bone and Joint Clinic,Haryana,Panchkula,134109
469 Sector 7,Bandhu Nursing Home,Haryana,Panchkula,134109
"207, Sector-10",Chakravarty Nursing Home / Chakshu Clinic,Haryana,Panchkula,134109
"Swastik Vihar, Phase I, Sector - 5, Mansa Devi Complex",Childrens Hospital,Haryana,Panchkula,134109
Western Command Chandimandir Registered Hospital: Military Hospital Code,Command Hospital,Haryana,Panchkula,134109
Sco 94 Ff Swastik Vihar,Dhar Pediatric Centre,Haryana,Panchkula,134109
Sector-4,Dhir Clinic,Haryana,Panchkula,134109
"705, Sector 4",Divine Eye Clinic,Haryana,Panchkula,134109
"Disha Orcade,Samerock School,Mansa Devi Complex,(Near Railway Fatak),Sector-4",Divya Chikitsa Sewa Kendra,Haryana,Panchkula,134109
"H.No- 702, Sector-9",Dr Bakshis Clinical Laboratory,Haryana,Panchkula,134109
"S.C.O-2,First Floor,Sector-11",Dr Bindals Dental Clinic and Implant Center,Haryana,Panchkula,134109
44 Sector-6,Dr Krishan Lal Singla Nursing Home,Haryana,Panchkula,134109
"Sco -4 Swastik Vihar,Mansa Devi Complex",Dr Monicas Laser Eye Clinic,Haryana,Panchkula,134109
"1034, Sector - 15",Gokul Surgical Hospital,Haryana,Panchkula,134109
"H No 685, Sector 12-A",Gupta Gynae Centre,Haryana,Panchkula,134109
"House No-576, Sector-16",Gupta Nursing Home,Haryana,Panchkula,134109
"Swastik Vihar,Sector 5,Mansa Devi Road",Gupta`S Dental Hospital,Haryana,Panchkula,134109
"Nursing Home Site No.-1, Adjoining Gh-34, Sector-5,  (Mansadevi Complex)",Happy Family Maternitys Children Hospital Pvt Ltd,Haryana,Panchkula,134109
"Site No.3, Sector-17,Near Gowri Shankar Mandir",Institute Of Reproduction and Child Cares,Haryana,Panchkula,134109
"602, Sector-7",Jindal Nursing Home,Haryana,Panchkula,134109
"No.621, Sector-16",Jyoti Dental and Eye Care Centre,Haryana,Panchkula,134109
"Scf-65,Sector-6",Kamla Charitable Diagnostic Centre,Haryana,Panchkula,134109
"Sco 12/5/Mdc/Pkl, On Chadkalka Highway",Kaps Diagnoscan Centre,Haryana,Panchkula,134109
"House No-46,Sector 6",Kl Nursing Home,Haryana,Panchkula,134109
Sco 298 Sec. 20,Makkar Dental Clinic,Haryana,Panchkula,134109
"302, Sector-7",Malhotra Nursing Home,Haryana,Panchkula,134109
"254, Sector 17",Mehta Medical Centre,Haryana,Panchkula,134109
"131, Sector 7",Narula Nursing Home,Haryana,Panchkula,134109
"807, Dilsukhnagar",Noheria Nursing Home,Haryana,Panchkula,134109
"873, Sector - 8",Ortho Centre / Ortho Nava Hospital,Haryana,Panchkula,134109
"Behind Raghunath Mandir, Nursing Home Site No1,Sector-15",Orthomax Bone and Joint Hospital,Haryana,Panchkula,134109
"Nursing Home, Site-1, Opposite Raghunathan Temple, Sector-15",Orthomax Group,Haryana,Panchkula,134109
"11,Sector-2",Orthonova Clinic,Haryana,Panchkula,134109
"Clinic Cum-Residence 298, Sec-15",Pardeep Allergy Centre,Haryana,Panchkula,134109
Sco-8 Sector-16,Phoneix Hospital,Haryana,Panchkula,134109
Sector-17,Pulse Hospital,Haryana,Panchkula,134109
"Kalka National Highway-22, Amravati Enclave",Radha Devi Amravati Polyclinic,Haryana,Panchkula,134109
"Sco-138, Sector-14",Raffels Hospital Pvt. Ltd.,Haryana,Panchkula,134109
"1187, Sector -11",Shri Ram Clinic,Haryana,Panchkula,134109
"House No-1187,Sector 11",Shriram Multispeciality Hospital,Haryana,Panchkula,134109
"Sco289 Dss254, Sector-20",Shubham Hospital and Diagnostic Center,Haryana,Panchkula,134109
"House No-851,Sector 17",Siddarth Nursing Home,Haryana,Panchkula,134109
"H.No- 30,Sector 12-A",Sidharrth Nursing Home,Haryana,Panchkula,134109
"651,Sector-12",Singla Child Care Centre,Haryana,Panchkula,134109
"S.C.O. 289 & Dss 254, Sector-20",Subham Hospital and Diagnostic Centre,Haryana,Panchkula,134109
496.Sector-9,Takkar Dental Clinic,Haryana,Panchkula,134109
"270,Sector-6",Verma Maternity Centre7Nursing Home,Haryana,Panchkula,134109
"1617 Sector 15,Opp Shri Guru Ravidass Bhawan",Vohra Clinical Laboratories,Haryana,Panchkula,134109
Raipur Rani,Chc Raipur Rani,Haryana,Panchkula,134204
Sector 21,"Alchemist Hospital, Panchkula",Haryana,Panchkula,134112
"207, Sector 10",Chakravarty Nursing Home,Haryana,Panchkula,134109
"208, Sector-10",Chakravarty Polyclinics,Haryana,Panchkula,134109
"SCO-26, Sector-11",Drishti Eye Hospital,Haryana,Panchkula,134109
"1187, Sector 11, Near Main Bus Stand",Shri Ram Hospital,Haryana,Panchkula,134112
"SCO 8, Sector 16",Phoenix Hospital,Haryana,Panchkula,134108
"A R Mittal Hospital,Gohana Road","A R Mittal Hospital,",Haryana,Panipat,132103
"2, Arya Nagar, Asandh Road",A S Dahiya Hospital / A.S Dhaiya Hospital,Haryana,Panipat,132103
Teshil Road,Aarti Nursing Home,Haryana,Panipat,132103
"20,Nehru Nagar,Tehsil Town",Abrol Medical and Heart Care Centre,Haryana,Panipat,132103
"Gohana Road,Near Gt Road",Aggarwal Eye Hospital,Haryana,Panipat,132103
"Ahuja Hospital Pvt.Ltd,Sanoli Road",Ahuja Hospital Pvt.Ltd,Haryana,Panipat,132103
"New Grain Market, Samalkha",Akash Hospital,Haryana,Panipat,132103
Near Devi Mandir,Altius Maharaja Agarsain Hospital,Haryana,Panipat,132103
Waiser RoadMadlauda,Amar Hospital,Haryana,Panipat,132103
No.105 Adarsh Nagar Near Head Post Office,Anand Hospital Navdeep Eye Center / Anand Nursing Home,Haryana,Panipat,132103
"811,Model Town",Arora Psychiatric Nursing Home,Haryana,Panipat,132103
"Near Lal Tanki, Ram Lal Chowk",B K Gupta Eye Hospital,Haryana,Panipat,132103
"206, New Sukdev Nagar",Bajaj Eye Centre,Haryana,Panipat,132103
"550,Sector - Ii,Huda",Batra Hospital,Haryana,Panipat,132103
"Bhatia Hospital,3 - C,Narayan Singh Park",Bhatia Hospital,Haryana,Panipat,132103
"Opposite Malikpetrolpump,Sanoli Road",Chander Shekhar Rewari Memorial Trust,Haryana,Panipat,132103
Ralways Road,Chaturbhuj Leelawati Trust Hospital and Nursing Home / Chaterbuj Trust Hospital,Haryana,Panipat,132103
"1, Narian Singh Park Assandh Road",Chhabra Hospital,Haryana,Panipat,132103
Sanouli Road Near Bhim Goda Mandir,City Medical Care Hospital,Haryana,Panipat,132103
Bus Stand,Civil Hospital,Haryana,Panipat,132103
"203, Sukhdev Nagar",D.K. Gastro-Care Clinic,Haryana,Panipat,132103
Gohana Road,D.N.Batra Hospital,Haryana,Panipat,132103
"123,Sukhdev Nagar",Delhi Eye Hospital,Haryana,Panipat,132103
"614, Near Ram Sharnam Ashram",Dewan Diagnostic Centre and Dental Clinic,Haryana,Panipat,132103
"Ward No.11, Octroi Kutani Road",Dilsukh Hospital,Haryana,Panipat,132103
Gohana Road Krishan Pura,Dn Hospital,Haryana,Panipat,132103
"5/9, Near Shiv Chowk, Sanoli Road",Dr Bharat General and Dental Hospital,Haryana,Panipat,132103
Model Town,Dr Narayana Datta Hospital,Haryana,Panipat,132103
"2, Gole Market, Model Town",Dr Sudhir Sabharwal Orthopaedic Center,Haryana,Panipat,132103
"372-373 Huda, Phase -1, Sector- 11-12",Dr. G.C. Gupta Hospital,Haryana,Panipat,132103
"Dr. Rahul Mittal Memorial Hospital, 316,Model Town",Dr. Rahul Mittal Memorial Hospital,Haryana,Panipat,132103
"971/24,Jatal Road",Dr.Chaudary Hospital,Haryana,Panipat,132103
"Dr.Jetinder Sharma Hospital,Near Bus Stand","Dr.Jetinder Sharma Hospital,",Haryana,Panipat,132103
Model Town,Dr.Narayan Datt Hospital,Haryana,Panipat,132103
"638, Model Town,Near Pruthi Chowk",Dr.Ravindera Maternity and General Hospital,Haryana,Panipat,132103
"Tehsil Road,( Behind Civil Hospital)",Gandhi Hospital,Haryana,Panipat,132103
"Near Bhim Goda Mandir, Sanoli Road",Gaurav Hospital And Heart Care Centre,Haryana,Panipat,132103
"Geeta Hospital,46 - B,Narain Singh Park",Geeta Hospital,Haryana,Panipat,132103
"Bhim Goda Mandir Chowk, Sanoli Road",Goel Children Hospital,Haryana,Panipat,132103
"Plot No-145, Vijay Nagar",Heritage Hospitals Pvt Ltd,Haryana,Panipat,132103
Sanoli Road Sanjay Chowk,Hyderabadi General Hospital and Nursing Home,Haryana,Panipat,132103
"117, Sukhdev Nagar",Jain Ent Center,Haryana,Panipat,132103
"Jindal Nursing Home,50 Devi Multi Colony","Jindal Nursing Home,",Haryana,Panipat,132103
"126, Sukhdev Nagar Jitindra Hospital Lane",Jitendra Hospital,Haryana,Panipat,132103
"Padaw, Samalkha",Kapila Hospital,Haryana,Panipat,132103
Tehshil Road Behind Civil Hospital,Khurana Hospital and Maternity Centre,Haryana,Panipat,132103
Sarang Road,Kohli Nursing Home,Haryana,Panipat,132103
Gohana Road,Kundu Hospital,Haryana,Panipat,132103
Bishan Swaroop Colony,Lala Harbhagwan Das Memorial And Dr Prem Hospital / Lala Harbhagwan Dass Memorial and Dr.Prem Hospital,Haryana,Panipat,132103
"Madhumita Hospital & Diagnostic Centre,G.T.RoadNear Gohana Chowk",Madhumita Hospital and Diagnostic Centre,Haryana,Panipat,132103
"656-R, Pruthi Chowk, Model Town",Malhotra Mother and Child Hospital,Haryana,Panipat,132103
Gohana Road (Near G.T.Road),Malik Hospital,Haryana,Panipat,132103
"Ram Mandir, Opposite Mithan Sweets Teh. Camp",Manisha Maternity And General Hospital,Haryana,Panipat,132103
"396, Huda Colony, Sector - Ii",Mittal Chest Allegery and General Hospital,Haryana,Panipat,132103
"Saini Factory Wali Gali,Purewal Colony,Kacha Camp,Near Weaver Service Centre",Navjevan Charitable Hospital / Navjeevan Doctor House,Haryana,Panipat,132103
"No. 103, L Model Town",Neeraj Hospital / Neraj Hospital,Haryana,Panipat,132103
"18 Nehru Nagar, Behind Skylark",Pahuja Hospital,Haryana,Panipat,132103
"2Nd Floor, Prem Hospital,Bishan Saroop ColonyOpp Bus Stand",Panipat Cath Lab and Heart Care Centre,Haryana,Panipat,132103
"Near Babail Chowk, Sanoli Road",Pawananjali Hospital,Haryana,Panipat,132103
"Prabhakar Hospital,1,Assamdh Road",Prabhakar Hospital / Prabhakar Hospital- I,Haryana,Panipat,132103
"Bishan Saroop Colony, Opp Bus Stand",Prem Hospital,Haryana,Panipat,132103
"1119, Bishan Sarup Colony,",Pritam Nursing Home,Haryana,Panipat,132103
"Scf. 33-31, Sector11, Urban State",R P Stone Clinic Pvt Ltd,Haryana,Panipat,132103
"Raghudeep Hospital,39 B,N.S.Park",Raghudeep Hospital,Haryana,Panipat,132103
"No. 152-R, Model Town",Rainbow Children Hospital,Haryana,Panipat,132103
"S. C. F 30 & 31, Sector 11, Urban Estate (Huda Colony )",Renew R. P Endoscopic and Enitre Women Diseases Clin,Haryana,Panipat,132103
JattalRoad,Sai Ram Nursing Home,Haryana,Panipat,132103
":Salar Gunj Gate, Insar Bazar Rd, Sukhdev Nagar, Old Housing Board Colony",Sanjeevani Nursing Home / Sanjeevni Nursing Home,Haryana,Panipat,132103
"Saloni Road, Khushi Garden Wali Gali",Sanjiv Singla Children Hospital,Haryana,Panipat,132103
Gohana Rd,Saradana Hospital / Sardana Hospital,Haryana,Panipat,132103
"Plot No.-154, Vijay Nagar",Shipra Hospitals Pvt. Ltd.,Haryana,Panipat,132103
"47,Devi Murti Colony,Behind Civil Hospital,Near Hawa Singh Hospital",Shree Balaji Hospital and Health Care Centre / Shree Balajee Hospital and Heart Care Centre,Haryana,Panipat,132103
Sanoli Road,Shri Hyderabadi Biradari Shiksha and Medical Sanstha,Haryana,Panipat,132103
Sanoli Road Near Bhim Goda Mandir,Shri Radha Krishna Charitable Eye Hospital,Haryana,Panipat,132103
Near Ramlalchowk. Model Town,Singla Nursing Home,Haryana,Panipat,132103
Khanna Road Near Gohana Road,Sombeer Hospital / Sombir Hospital / Somdir Hospital,Haryana,Panipat,132103
"435-L, Model Town",Soni Hospital,Haryana,Panipat,132103
Tehsil Road Behind Civil Hospital,Talwar Nursing Home,Haryana,Panipat,132103
Tehsil Road Behind Civil Hospital,Tandon Hospital,Haryana,Panipat,132103
"Tikku Hoapital,658,Model Town",Tikku Hoapital,Haryana,Panipat,132103
ESIC  Building,"ESI Hospital, Panipat",Haryana,Panipat,132103
"Assandh Road, Model Town\n",Madaan Hospital,Haryana,Panipat,132103
"638, Model Town",Ravindra Hospital\n,Haryana,Panipat,132103
"Aman Hospital, Bishal Swaroop, Colony",Aman Hospital,Haryana,Panipat,132103
"1-A, Narain Singh Park, Assandh Road, Model Town",Chhabra Star Hospital.,Haryana,Panipat,132103
"614, Model Town, OppositeRam Sharnam Ashram (Shakuntla mandir)",Dewan Dental Clinic and Diagnostic Centre,Haryana,Panipat,132103
"372-373, Huda Sec-2",Dr. G.C.Gupta Hospital,Haryana,Panipat,132103
"656-R, Pruthi Chowk, Model Town",Malhotra Mother and Child Hospital,Haryana,Panipat,132103
"SCF: 30-31, Sector-11, Near Angel Prime Mall, Huda Colony","R P Stone Clinic Pvt.Ltd., Panipat",Haryana,Panipat,132103
Plot No: 5 (Near S B I) Sector 6 Dharuhera,Apex Hospital And Trauma Centre / Apex Hospital (Multi Speciality Centre),Haryana,Rewari,123106
"Opposite Jain Publichigh School, New Civil Hospital, Circular Road",Aaroh Hospital,Haryana,Rewari,123401
"Circular Road, Near Kanod Gate",Aditya Neuro and Spine Speciality Hospital,Haryana,Rewari,123401
"Near Modawala Mandir Main Gate, Delhi Road, Narnaul",Ahuja Hospital,Haryana,Rewari,123401
"70, Km Milestone, Opposite Sec.-6 Housing Board Colony Daruhera",Apex Hospital and Trauma Centre,Haryana,Rewari,123401
Model Town,Arora Nursing Home,Haryana,Rewari,123401
"Dharuhera Chowk, Circular Road",Arvind Yadav Hospital and Research Center,Haryana,Rewari,123401
"Near New Anaj Mandi, Bharawas Road",Atam Prakash Hospital,Haryana,Rewari,123401
G.T. Road Old Bus Stand,Bansal Hospital Heart Care Center,Haryana,Rewari,123401
Leo Chowk,Birendra Hospital,Haryana,Rewari,123401
"Sco No-24, Huda Shopping Complex, Sector -4",City Care Hospital,Haryana,Rewari,123401
Circular Road,Civil Hospital,Haryana,Rewari,123401
Opp Government Girls Sec School Circular Road,Deep Hospital,Haryana,Rewari,123401
Near Naiwali Chok Cerculer Road,Dr B L Goyal Nursing Home,Haryana,Rewari,123401
"Near Punjabi Dharamshala, Circular Road",Dr Bhargava Hospital and Nursing Home,Haryana,Rewari,123401
"Near Kanod Gate, Circular Road",Dr S P Yadav Multispecilty Hospital,Haryana,Rewari,123401
"201-R,Model Town",Dr. Arora Vijay Memorial Hospital,Haryana,Rewari,123401
"Court Road, Model Town",Dr. Kaushal Surgical Hospital and Maternity Home,Haryana,Rewari,123401
"Near Railway Station, Circular Road",Dr. Ramjass Hospital,Haryana,Rewari,123401
Garhi Bolni Road ( Near Shiv Complex) Opposite B.D.O Block Office,Dr. Vivek Yadav Hospital,Haryana,Rewari,123401
Mirpur,Dr.S.S. Yadav Ram-Bhagwan Charitable Institute,Haryana,Rewari,123401
"Court Road,Model Town(Near Bus Stand)",Dr.Ved Prakash Surgical and Laproscopic Centre,Haryana,Rewari,123401
Garhi Bilini Chowkcircular Road,Eye-Q Super Speciality Hospitals,Haryana,Rewari,123401
"Leo Chowk, Konsiwas Road",Gangadei Memorial Hospital,Haryana,Rewari,123401
"Near Kanod Gate, Circular Road",Gulati Healthcare,Haryana,Rewari,123401
"Bighar, Fatehabad",Health Point,Haryana,Rewari,123401
"Jangidmall Circular Road, Bhiwadi Road, Dharuhera",Health Way Research and Diagnostic Pvt.Ltd.,Haryana,Rewari,123401
"Kokila Building, Leo Chowk, () & Sohna Road, Dharuhera",Healthway Research and Diagnostic Pvt. Ltd.,Haryana,Rewari,123401
"Rao Matadin Hospital,  Road, Narnaul",Imran Ent Hospital,Haryana,Rewari,123401
"Garhi Bolni Rd, Model Town",Kalawati Hospital,Haryana,Rewari,123401
"Opposite Sandpier Tourist Complex, Circular Road",Kamla Hospital,Haryana,Rewari,123401
"Kanod Gate, Circular Road,",Katyal Hospital and Critical Care Centre,Haryana,Rewari,123401
"Maharana Partap Chowk, Bawal Road",Kesar Hospital,Haryana,Rewari,123401
Opp: Hanuman Mandir Bara Talab,Lalita Memorial Hospital Pvt Ltd / Lalita Memorial Multi Speciality Trauma and Test Tube Baby Center,Haryana,Rewari,123401
"Sec-5, Huda Market, Opposite Bmg Mall, Circular Road",Lifecare Hospital,Haryana,Rewari,123401
Rampur,Medimax Hospital,Haryana,Rewari,123401
"Dharuhera Chowk,Cirucular Road,Dharuhera Chungi",Metro Umkal Hospital And Heart Institute,Haryana,Rewari,123401
"Near Army Canteen, Circular Road",Mission Hospital and Diagnostic Centre,Haryana,Rewari,123401
Ambedkar Chowk,Naithani Neuro Cente,Haryana,Rewari,123401
"218-L,Court Road,Model Town",Om Heart Care and Medical Centre,Haryana,Rewari,123401
"R-205,Model Town",Poonam Child Care Centre,Haryana,Rewari,123401
"Opposite Govt Girls School, Circular Road",R. Yadav Surgical and Rekha Eye Hospital,Haryana,Rewari,123401
"Oppositr Telephone Exchange,Narnaul Chowk",Sachdeva Hospital And Nursing Home,Haryana,Rewari,123401
Khaul,"Samudayik Swasthya Kender, Khaul",Haryana,Rewari,123401
Near Jagan Gate (Leo Chowk) Circular Road,Shakuntla Hospital,Haryana,Rewari,123401
"Near Leo Chowk, Circular Road",Shakuntla Multi Speciality Hospital,Haryana,Rewari,123401
Garhi Balani Road,Shanti Yadav Hospital,Haryana,Rewari,123401
Bawal Road,Sheel Hospital,Haryana,Rewari,123401
"Near Petrol Pump, Naiwali Chowk, Circular Road",Shiv Heart Care and Medical Centre,Haryana,Rewari,123401
90 K.M. Delhi Jaipur Highway Kashula Chowk,Shree Shyam Healthcare and Trauma Center,Haryana,Rewari,123401
Garhi Bolani Chowk,Shree Shyam Surgical and Maternity Hospital,Haryana,Rewari,123401
"343L Model Town, Bawal Road",Shri Ashwini Saxena Hospital / Shri A Saxena Hospital,Haryana,Rewari,123401
Opposite Government Girls Hr.Sec. School,Shri Ganga Charan Hospital,Haryana,Rewari,123401
Circular Road,Shri Komal Eye Hospital and Dr Saxena`S Nursing Home,Haryana,Rewari,123401
Garhi Bolani Road,Shri Krishan Hospital / Shri Krishana Hospital,Haryana,Rewari,123401
"Circular Road, Opposite Sandpiper Tourist Complex",Singla Hospital,Haryana,Rewari,123401
"N.R.P. Bass Road, Dharuhera",Sukhdev Hospital,Haryana,Rewari,123401
Gari Bolni Road,Surekha Yadav Maternity Surgical Hospital,Haryana,Rewari,123401
"N.R.P. Bass Road, Dharuhera",Verma Nursing Homre,Haryana,Rewari,123401
Leo Chowkmkaunsivas Road,Virendra Hospital,Haryana,Rewari,123401
"Krishana Nagar, Near Azad Chowk Gari Borli Road",Yadav Surgical Hospital / Yadav Heart Care Centre and Hospital,Haryana,Rewari,123401
"Railway Road, Bawal",Dr B Lal Hospital,Haryana,Rewari,123501
"Bawal Industrial Area, Jaliyawas",Galaxy Hospital and Trauma Centre,Haryana,Rewari,123501
"Garhi Bolini Chowk, Circular Road","Eye-Q Super Speciality Eye Hospitals, Rewari",Haryana,Rewari,123106
"Plot No 5, Sector 6, Dharuhera",Apex Health Care and Apex Hospital and Trauma Centre,Haryana,Rewari,123106
"Near Guru Chowk, Model Town\n",Arora Nursing Home,Haryana,Rewari,123401
"Kanod Gate, Circular Road",Dr. S.P.Yadav Hospital,Haryana,Rewari,123401
"Huda Bye Pass Road, Housing Board, Sector-3",Ganga Sahai Multi Speciality Hospital,Haryana,Rewari,123401
"Near Kanod Gate, Circular Road\n",Hari Om Agrasen Hospital,Haryana,Rewari,123401
"Sec-5, Huda Market, OppositeBMG Mall, Circular Road","Life Care Hospital, Rewari",Haryana,Rewari,123401
"Near Guru Chowk, Model Town",Arora Nursing Home\n,Haryana,Rewari,123401
Vikas Nagar,Aastha Hospital,Haryana,Rohtak,124001
"421, Sonepat Road, Near Vishal Mega Mart",Atri Nursing Home,Haryana,Rohtak,124001
Sonepat Road,Bharat Nursing Home,Haryana,Rohtak,124001
"Delhi Road, Opposite Power House",Chadha Orthopaedic and Dental Research Inst.,Haryana,Rohtak,124001
Plot No 952 Ward No 23 Lal Chand Chowk Near Durga Mandr,Channan Devi Memorial Hospital,Haryana,Rohtak,124001
"Delhi  Road, Opposite Power House, Model Town",Chhabra Psychiatric Clinic,Haryana,Rohtak,124001
"Scf 10-11, Huda Complex, (Opposite Palika Bazar), Civil Road",Chhotu Ram Hospital / Chotu Ram Hospital,Haryana,Rohtak,124001
"2 & 3, Huda Complex, Oppo. Palika Bazar",Chowdhary Maternity and Surgical Center,Haryana,Rohtak,124001
"Approach Road, Near Railway Station",City Heart Clinic And Nursing Home,Haryana,Rohtak,124001
"1533/21, Chinnipura, Saini School Road",City Hospital,Haryana,Rohtak,124001
Near Mohan Petrol Pump,Citycare Hospital,Haryana,Rohtak,124001
Sukhpura Chowk,Civil Hospital,Haryana,Rohtak,124001
"953/23 D. L. I. Colony, Chowk, Near Main Branch S.B.I. & Deshet Courts",Dayal Maternity and Nursing Home,Haryana,Rohtak,124001
"223, Subhash Nagar",Dr. Ravi Mohan Clinic and Nursing Home,Haryana,Rohtak,124001
"Makroli House,Opposite Maruti Showroom,Sonipat Road",Eye-Q Super Speciality Hospitals,Haryana,Rohtak,124001
Kewal Ganj,Gaur Nursing Home,Haryana,Rohtak,124001
"Sant Nagar,Opposite Palika BazarCivil Road",Goel Nursing Home,Haryana,Rohtak,124001
"Near Radio Station, Subhash Road",Gupta Ortho Centre,Haryana,Rohtak,124001
926 Vijay Park (Jhang Colony),Ishwar Eye Clinic,Haryana,Rohtak,124001
Kath Mandi (Near Jugal Kishor Hospital),Jain Hospital and Fertility Centre,Haryana,Rohtak,124001
Jhajjar Road,Jain Lifecare,Haryana,Rohtak,124001
"C-123/D-1, Model Town Near D-Park",Jeewan Hospital and Nursing Home,Haryana,Rohtak,124001
"Civil Road,Chhotu Ram Park Chowk",Jiwan Nursing Home / Jivan Nursing Home,Haryana,Rohtak,124001
"Outer Quilla Road,Gohana Adda",Kalra Clinic,Haryana,Rohtak,124001
"Scf-192, Opposite Zad Computer, Huda Complex",M.R. Memorial Navjeevan Hospital,Haryana,Rohtak,124001
Subhash Road,"Maan Hospital,",Haryana,Rohtak,124001
Opp Mahavir Mandir Park Civil Line,Malabar Medicare Centre,Haryana,Rohtak,124001
"Hafed Chowk Bye-Pass, Near Sukhpura Chowk",Malik Hospital,Haryana,Rohtak,124001
"Peepal Wali Gali,Vaishay College RoadJanta Colony",Manav Seva Sangh Dhramarth Hospital,Haryana,Rohtak,124001
"Opposite Air, Subhash Road",Mann Multispeciality Hospital,Haryana,Rohtak,124001
Delhi Road,Mansarovar Hospital,Haryana,Rohtak,124001
Near Sukhpra Chock,Manu Hospital,Haryana,Rohtak,124001
"Dhannu Mandi, Jhajjar Road",Medicare Clinic And Nursing Home,Haryana,Rohtak,124001
Opposite All India Radio Station,Mittal Maternity and Nursing Home,Haryana,Rohtak,124001
Jhajjar Road,Moda Nursing Home,Haryana,Rohtak,124001
"112/29 Basant Vihar, Nanadal Nursing Home, Sonepat Road",Nandal Maternity And Nursing Home,Haryana,Rohtak,124001
"Near Gurudwara, Bhiwani Stand",Oxygen A Multi Speciality Hospital,Haryana,Rohtak,124001
"1183/20,Ist FloorOpp Model School ,Delhi Road",Pulse Children Hospital,Haryana,Rohtak,124001
Nigana Mode Kalanaur,Rajlaxmi Hosptial,Haryana,Rohtak,124001
"Near Jind By Pass Chowk, Jind Road",Rathee Hospital,Haryana,Rohtak,124001
Sukper Chock Delhi Road,Rathi Eye Hospital,Haryana,Rohtak,124001
Gohana Adda,Ravi Child Care Hospital,Haryana,Rohtak,124001
Civil Road,Rohtak Maternity Centre,Haryana,Rohtak,124001
Jiwan Nursing Home Chhotu Ram Chowk,S L Verma Nursing Home,Haryana,Rohtak,124001
"1356/29, Model Town,Medical Crossing",S.K.Mudgil Hospital / S.K.M. Hospital,Haryana,Rohtak,124001
"Opp Tehsil, Civil Lines",Saini Hospital,Haryana,Rohtak,124001
Choturamchowk,Sanghi Nursing Home,Haryana,Rohtak,124001
"Jind Bypass Chowk, Jind Road, Jind Road",Shanti Maternity And Nursing Home,Haryana,Rohtak,124001
Medical Mor,Shree Krishna Clinic,Haryana,Rohtak,124001
"Shri Ram Plaza, Huda Complex",Shree Sai Saans Critical Care Centre,Haryana,Rohtak,124001
"255,Delhi Road,Model Town,Near Jeewan Eye Hospital",Shri Ram Physiotherapy Centre,Haryana,Rohtak,124001
"443/30, Dev Colony,Opposite C.R. Poltecnik,Delhi Road",Siwach Hospital / Siwach Saatwik Clinic,Haryana,Rohtak,124001
"Natraj Hotel Street,Near Liberty Cinema",Sonia Dental and Child Hospital,Haryana,Rohtak,124001
Vijay Nagar,Sukhda Hopital,Haryana,Rohtak,124001
